item_id,watch_title,watch_issue_number,title,price,currency,item_url,seller_username
mock-asm300-1,Amazing Spider-Man,300,Amazing Spider-Man #300 CGC 9.8 White Pages,4000,USD,https://www.ebay.com/itm/mock-asm300-1,keyslabs
mock-asm300-ss,Amazing Spider-Man,300,ASM #300 CGC SS NM/MT 9.8 Newsstand 1st Venom,3900,USD,https://www.ebay.com/itm/mock-asm300-ss,signaturekeys
mock-asm300-2,Amazing Spider-Man,300,AMAZING SPIDER-MAN 300 CGC 9.6 WP VENOM,2800,USD,https://www.ebay.com/itm/mock-asm300-2,wallbooks
mock-asm300-3,Amazing Spider-Man,300,Amazing Spider-Man #300 CGC 7.5 White Pages,950,USD,https://www.ebay.com/itm/mock-asm300-3,gradehunter
mock-asm300-4,Amazing Spider-Man,300,Amazing Spider-Man #300 raw high grade unread,600,USD,https://www.ebay.com/itm/mock-asm300-4,rawseller
mock-asm361-1,Amazing Spider-Man,361,Amazing Spider-Man #361 CGC 9.8 White Pages 1st Carnage,420,USD,https://www.ebay.com/itm/mock-asm361-1,keyslabs
mock-asm361-2,Amazing Spider-Man,361,Amazing Spider-Man #361 CGC 9.6 OWW,420,USD,https://www.ebay.com/itm/mock-asm361-2,wallbooks
mock-nm98-1,New Mutants,98,New Mutants #98 CGC 9.8 White Pages 1st Deadpool,475,USD,https://www.ebay.com/itm/mock-nm98-1,gradehunter
mock-nm98-2,New Mutants,98,New Mutants 98 CGC 9.6 WP,520,USD,https://www.ebay.com/itm/mock-nm98-2,highgradehub
mock-ba12-1,Batman Adventures,12,Batman Adventures #12 CGC 9.8 White Pages Harley Quinn,2700,USD,https://www.ebay.com/itm/mock-ba12-1,keyslabs
mock-ba12-2,Batman Adventures,12,Batman Adventures #12 CGC 9.4 White Pages,1400,USD,https://www.ebay.com/itm/mock-ba12-2,wallbooks
mock-hulk181-1,Incredible Hulk,181,Incredible Hulk #181 CGC 6.0 Off-White to White Pages,3900,USD,https://www.ebay.com/itm/mock-hulk181-1,bronzekeys
mock-hulk181-2,Incredible Hulk,181,Incredible Hulk #181 CGC 9.4 White Pages,28500,USD,https://www.ebay.com/itm/mock-hulk181-2,keyslabs
mock-xmen266-1,X-Men,266,X-Men #266 CGC 9.8 White Pages 1st Gambit,610,USD,https://www.ebay.com/itm/mock-xmen266-1,gradehunter
mock-sw8-1,Secret Wars,8,Marvel Super Heroes Secret Wars #8 CGC 9.8 White Pages,475,USD,https://www.ebay.com/itm/mock-sw8-1,spideybooks
mock-tmnt-1,Teenage Mutant Ninja Turtles Adventures,1,TMNT Adventures #1 CGC 9.8 White Pages,725,USD,https://www.ebay.com/itm/mock-tmnt-1,indiekeys
mock-spawn1-1,Spawn,1,Spawn #1 CGC 9.8 White Pages Newsstand,180,USD,https://www.ebay.com/itm/mock-spawn1-1,modernslabs
mock-uf4-1,Ultimate Fallout,4,Ultimate Fallout #4 CGC 9.8 White Pages 1st Miles Morales,1050,USD,https://www.ebay.com/itm/mock-uf4-1,modernslabs
mock-uf4-2,Ultimate Fallout,4,Ultimate Fallout #4 CGC 9.6 White Pages,910,USD,https://www.ebay.com/itm/mock-uf4-2,wallbooks
